cliente,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
JÚLIO DEMARQUE,limão,peito de peru,manga,cerveja,picanha,carvão,sal,linguiça,mel,geleia,cereal,,,,,,,
MAYCON SOARES,salsicha,cerveja,picanha,catchup,geleia,cebola,,,,,,,,,,,,
WEMERSON NETO,queijo,frutas,chá,alface,granola,feijão,farinha de trigo,suco de laranja,,,,,,,,,,
JOÃO DEMARQUE,pimenta,sardinha enlatada,barra de cereal,molho de tomate,gelatina,vinho branco,pão,tempero pronto,vinho tinto,presunto,arroz,feijão,,,,,,
MAYCON SANTOS,detergente,filé de frango,arroz,feijão,limão,papel higiênico,presunto,farinha de trigo,salada,alface,cenoura,,,,,,,
PEDRO SOARES,maionese,farinha de trigo,,,,,,,,,,,,,,,,
OTÁVIO NETO,molho branco,whisky,arroz,feijão,salada,pudim,suco,frutas,,,,,,,,,,
PEDRO SOARES,azeitona,maionese,frango,arroz,,,,,,,,,,,,,,
VICTOR NETO,vinho tinto,presunto,pão,molho de tomate,,,,,,,,,,,,,,
GABRIEL NETO,mostarda,vinho tinto,queijo,presunto,pão,carne moída,,,,,,,,,,,,
MAYCON OLIVEIRA,picanha,nhoque,pimenta,água de coco,laranja,,,,,,,,,,,,,
MAYCON SILVA,manga,cerveja artesanal,massa de pizza,biscoito,tempero pronto,chá,vinho tinto,queijo,presunto,pão,,,,,,,,
MAYCON RODRIGUES,maionese,chá,morango,azeitona,água de coco,bisnaguinha,kiwi,,,,,,,,,,,
GABRIEL SANTOS,achocolatado,detergente,sabão,feijão,torrada,,,,,,,,,,,,,
LUIZ OLIVEIRA,banana,molho de tomate,palmito,azeitona,geleia,desinfetante,,,,,,,,,,,,
WEMERSON SANTOS,sopa pronta,palmito,picanha,ervilha,hambúrguer,batata frita,,,,,,,,,,,,
PEDRO CARDOSO,refrigerante,farinha de trigo,queijo ralado,uva,refrigerante,biscoito,tempero pronto,uva,sal,mel,,,,,,,,
JÚLIO RODRIGUES,vinho tinto,queijo,presunto,pão,,,,,,,,,,,,,,
