Nome,Salario,Nascimento,Cargo,Ano
MICAEL RIBEIRO AMORIM,17724.488652880278,1953-07-15,Estagiário,1953.0
MATHEUS PICANÇO SANTOS FERREIRA SILVA,2214.0,1987-12-27,Gerente,1987.0
SAMUEL QUEIROZ DE AGUIAR,3837.75,1970-12-14,Auxiliar,1970.0
VICTOR MUZY FERNANDES,264.1832945387325,1966-08-01,Diretor,1966.0
GABRIEL RISSON EUZEBIO,1225.2,1950-12-14,Analista,1950.0
MATHEUS IVAIR DE ASSIS SETTA,8294.0,1987-07-24,Desenvolvedor,1987.0
JOÃO ANTÔNIO DE DECCO OLIVEIRA,2853.5,1988-10-05,Coordenador,1988.0
JOÃO SANTOS DA SILVA,6910.8,1996-01-25,Coordenador,1996.0
SAMUEL VICTOR ALVES,-3612.4,1990-08-09,Desenvolvedor,1990.0
SAMUEL RIBEIRO AMORIM,14650.5,1982-11-17,Gerente,1982.0
RÔMULO CARDOSO DINIZ,8080.0,2025-00-00,Diretor,
MARCO CARLOS DE SOUZA,5616.0,1994-10-22,Diretor,1994.0
GABRIEL MATHEUS DA SILVA,3673.6000000000004,1970-03-14,Trainee,1970.0
GABRIEL AUGUSTO DE SOUSA FERRARI,4092.4,1958-01-27,Coordenador,1958.0
VICTOR GONÇALVES DOS SANTOS,1137.2458666604864,1963-10-10,Analista,1963.0
VICTOR PAULO ALVES ALVIM,8442.0,1985-10-20,Diretor,1985.0
MATHEUS DA CUNHA TEIXEIRA,8016.75,1988-05-08,Auxiliar,1988.0
LUCAS RIBAS DE MOURA,7285.2,1955-07-22,Coord,1955.08
 
THIAGO QUEIROZ DE AGUIAR,4507.8,1965-06-24,Desenvolvedor,1965.0
SAMUEL BRENO PRADO SILVA,11450.0,1967-01-22,,1967.0
GUILHERME MATHEUS DA SILVA,,1950-06-07,Analista,1950.0
LEVI CUNHA DE OLIVEIRA,7856.4,1987-05-05,Analista,1987.0
THIAGO CARLOS DE SOUZA,10956.0,1993-08-05,Diretor,1993.0
MARCO VIEIRA DEMARQUE,1672.1810026556898,1961-11-01,Gerente,1961.0
VICTOR PICANÇO SANTOS FERREIRA SILVA,6046.95,1970-01-26,Auxiliar,1970.0
MICAEL GONÇALVES DONADONI,9136.050000000001,1981-09-12,Auxiliar,1981.0
VICTOR HENRIQUE COSTA BARNABE MARAZO,6870.0,1970-07-14,Analista,1970.0
JOÃO HUGO CAZULA PEREIRA,4642.0,1958-01-17,Desenvolvedor,1958.0
GABRIEL RISSON EUZEBIO,10630.5,1960-07-28,Gerente,1960.0
KALLEBE AUGUSTO DE SOUSA FERRARI,-1364.3999999999999,1976-06-24,Analista,1976.0
HENRIQUE LACERDA PORTUGAL DA SILVA,17148.0,1970-08-11,Diretor,1970.0
VICTOR CUNHA DE OLIVEIRA,12473.728650942394,1985-10-03,Estagiário,1985.0
